Usia,Jenis_Kelamin,Kota,Pendapatan,Kategori_Produk,Harga_Satuan,Jumlah,Diskon_Persen,Metode_Pembayaran,Membership,Rating,Lama_Pengiriman_Hari,Kode_Promosi,Total_Pembelian
36.0,Perempuan,Jambi,6556257.0,Rumah Tangga,1211078.0,7,25.0,Kartu Kredit,Gold,4.7,6,GRATISONGKIR,4635145.0
47.0,Laki-laki,Jambi,6227433.0,Olahraga,402837.0,4,25.0,Kartu Kredit,Silver,4.9,5,GRATISONGKIR,1747532.0
31.0,Laki-laki,Pekanbaru,12012516.0,Fashion,3050634.0,6,0.0,E-Wallet,Bronze,3.9,3,PROMO10,11499613.0
23.0,Perempuan,Jambi,5631919.0,Elektronik,3456629.0,4,5.0,Kartu Kredit,Gold,4.3,1,PROMO10,8764045.0
44.0,Perempuan,Jambi,6691478.0,Olahraga,2739338.0,4,10.0,COD,Bronze,4.0,5,PROMO20,6299170.0
26.0,Laki-laki,Palembang,8672485.0,Olahraga,458417.0,3,25.0,E-Wallet,Silver,2.9,5,HEMAT15,1770601.0
31.0,Perempuan,Pekanbaru,8031972.0,Elektronik,3007506.0,5,10.0,Kartu Kredit,Bronze,2.6,6,TANPA_PROMO,8153262.0
32.0,Perempuan,Bengkulu,8785418.0,Elektronik,1927825.0,6,25.0,E-Wallet,Silver,3.3,4,PROMO20,5863464.0
25.0,Laki-laki,Pekanbaru,11555510.0,Olahraga,4243478.0,3,0.0,E-Wallet,Bronze,3.4,4,GRATISONGKIR,8540172.0
18.0,Laki-laki,Jambi,9006147.0,Rumah Tangga,3044522.0,6,20.0,Kartu Kredit,Silver,3.8,1,TANPA_PROMO,9427998.0
39.0,Perempuan,Jambi,4322917.0,Kecantikan,1268045.0,2,5.0,Transfer Bank,Gold,4.8,2,HEMAT15,2582467.0
20.0,Laki-laki,Jambi,8848404.0,Rumah Tangga,4922539.0,1,0.0,Kartu Kredit,Gold,2.5,4,GRATISONGKIR,4446817.0
35.0,Laki-laki,Palembang,9249572.0,Rumah Tangga,4162842.0,5,20.0,Kartu Kredit,Bronze,3.9,6,PROMO10,10274622.0
48.0,Laki-laki,Jambi,5817240.0,Olahraga,4592875.0,2,25.0,Kartu Kredit,Gold,4.8,4,PROMO20,5225290.0
20.0,Laki-laki,Pekanbaru,7746863.0,Olahraga,140920.0,3,15.0,Transfer Bank,Silver,4.5,1,HEMAT15,1747393.0
37.0,Laki-laki,Padang,5467234.0,Rumah Tangga,3262920.0,2,10.0,COD,Gold,4.5,8,PROMO20,4542361.0
39.0,Laki-laki,Bengkulu,5844168.0,Rumah Tangga,2814143.0,4,25.0,COD,Gold,3.1,5,PROMO10,5565281.0
46.0,Laki-laki,Pekanbaru,7915379.0,Elektronik,2213969.0,6,5.0,E-Wallet,Bronze,4.3,8,GRATISONGKIR,7391340.0
35.0,Perempuan,Jambi,4498676.0,Fashion,4709126.0,2,25.0,Kartu Kredit,Silver,4.6,4,GRATISONGKIR,4852395.0
36.0,Laki-laki,Jambi,5718929.0,Fashion,590093.0,1,5.0,Kartu Kredit,Gold,4.8,7,HEMAT15,1509925.0
40.0,Perempuan,Bengkulu,4167432.0,Kecantikan,658706.0,7,5.0,COD,Platinum,2.7,6,HEMAT15,3543792.0
33.0,Laki-laki,Pekanbaru,7066441.0,Elektronik,3270033.0,7,10.0,Transfer Bank,Bronze,4.3,4,PROMO20,12269079.0
50.0,Perempuan,Jambi,6765424.0,Kecantikan,4775567.0,5,15.0,COD,Platinum,3.2,2,TANPA_PROMO,12622948.0
50.0,Laki-laki,Bengkulu,4747693.0,Fashion,1211636.0,1,25.0,Transfer Bank,Platinum,2.6,1,GRATISONGKIR,1721080.0
40.0,Laki-laki,Palembang,7635474.0,Elektronik,3929971.0,2,20.0,E-Wallet,Silver,4.9,1,HEMAT15,4667234.0
22.0,Perempuan,Bengkulu,8894789.0,Rumah Tangga,4338871.0,6,5.0,COD,Silver,3.1,8,TANPA_PROMO,14771049.0
28.0,Laki-laki,Jambi,4895157.0,Olahraga,2690884.0,2,25.0,Kartu Kredit,Gold,3.1,4,HEMAT15,3359106.0
45.0,Laki-laki,Bengkulu,5775598.0,Kecantikan,521544.0,5,10.0,Kartu Kredit,Bronze,4.5,8,TANPA_PROMO,2115751.0
41.0,Perempuan,Bengkulu,11085850.0,Fashion,1663331.0,7,0.0,COD,Bronze,4.4,6,TANPA_PROMO,7607525.0
32.0,Laki-laki,Pekanbaru,5398270.0,Fashion,2422431.0,3,15.0,COD,Platinum,3.4,1,TANPA_PROMO,4899897.0
52.0,Laki-laki,Jambi,3710353.0,Fashion,873341.0,4,20.0,COD,Silver,3.5,6,TANPA_PROMO,2134201.0
33.0,Perempuan,Pekanbaru,5237742.0,Elektronik,251733.0,2,20.0,Transfer Bank,Bronze,5.0,5,TANPA_PROMO,1012948.0
31.0,Laki-laki,Bengkulu,11047497.0,Olahraga,253858.0,5,20.0,Transfer Bank,Gold,4.8,1,TANPA_PROMO,2649922.0
37.0,Laki-laki,Palembang,6282502.0,Elektronik,4759819.0,3,10.0,E-Wallet,Gold,3.6,6,PROMO10,8378244.0
20.0,Perempuan,Bengkulu,6418521.0,Kecantikan,2259525.0,6,5.0,E-Wallet,Silver,5.0,1,HEMAT15,8365871.0
45.0,Perempuan,Padang,6064481.0,Rumah Tangga,4888459.0,7,25.0,Kartu Kredit,Gold,3.8,2,PROMO20,15485367.0
53.0,Laki-laki,Bengkulu,9942350.0,Kecantikan,532097.0,4,25.0,COD,Silver,4.7,8,GRATISONGKIR,2151189.0
50.0,Laki-laki,Padang,8270567.0,Elektronik,2636281.0,5,15.0,Kartu Kredit,Platinum,3.4,4,PROMO10,8128156.0
54.0,Laki-laki,Pekanbaru,9107463.0,Kecantikan,4967018.0,3,20.0,COD,Silver,3.3,3,HEMAT15,7935043.0
41.0,Perempuan,Jambi,4914609.0,Olahraga,2690884.0,4,0.0,COD,Bronze,4.5,4,GRATISONGKIR,6888062.0
39.0,Laki-laki,Bengkulu,8497318.0,Elektronik,3758350.0,7,25.0,COD,Bronze,3.8,4,TANPA_PROMO,11952478.0
50.0,Laki-laki,Bengkulu,7019199.0,Olahraga,1931369.0,6,25.0,COD,Bronze,4.1,6,PROMO20,5675887.0
26.0,Laki-laki,Bengkulu,10253561.0,Fashion,1950043.0,3,20.0,Kartu Kredit,Gold,3.8,5,PROMO10,4094967.0
25.0,Perempuan,Bengkulu,6620822.0,Rumah Tangga,1694957.0,6,20.0,Kartu Kredit,Silver,5.0,3,TANPA_PROMO,6044474.0
46.0,Perempuan,Jambi,6765424.0,Elektronik,1933078.0,5,20.0,Kartu Kredit,Silver,3.7,4,GRATISONGKIR,5607738.0
47.0,Perempuan,Jambi,8193823.0,Rumah Tangga,4707333.0,6,25.0,E-Wallet,Bronze,4.3,5,PROMO10,12710043.0
19.0,Perempuan,Padang,3202949.0,Rumah Tangga,838473.0,2,20.0,Transfer Bank,Silver,4.1,4,PROMO10,1496668.0
37.0,Perempuan,Bengkulu,4573463.0,Kecantikan,1644369.0,1,25.0,COD,Gold,4.9,4,PROMO10,2136048.0
50.0,Laki-laki,Jambi,5409884.0,Fashion,787510.0,5,10.0,Transfer Bank,Gold,2.6,3,PROMO20,2822361.0
35.0,Laki-laki,Bengkulu,5002363.0,Elektronik,861797.0,6,5.0,Transfer Bank,Bronze,3.7,6,HEMAT15,3569338.0
22.0,Laki-laki,Jambi,7011888.0,Kecantikan,1025913.0,4,25.0,E-Wallet,Gold,5.0,8,PROMO10,3219442.0
50.0,Laki-laki,Pekanbaru,7470130.0,Fashion,1258529.0,4,25.0,Kartu Kredit,Bronze,4.6,2,PROMO20,3497994.0
41.0,Perempuan,Palembang,3386554.0,Fashion,3418260.0,1,15.0,Kartu Kredit,Silver,3.5,2,PROMO20,2120088.0
21.0,Laki-laki,Pekanbaru,7005257.0,Rumah Tangga,664889.0,4,20.0,COD,Bronze,3.3,4,PROMO20,1748791.0
41.0,Perempuan,Jambi,7949151.0,Elektronik,3162386.0,5,5.0,E-Wallet,Bronze,4.3,7,TANPA_PROMO,9238906.0
21.0,Laki-laki,Pekanbaru,11556631.0,Elektronik,1013064.0,5,5.0,Kartu Kredit,Silver,3.7,7,PROMO20,4228234.0
28.0,Perempuan,Bengkulu,1800000.0,Rumah Tangga,2690884.0,3,20.0,Kartu Kredit,Bronze,3.2,3,HEMAT15,2706743.0
48.0,Laki-laki,Padang,8021565.0,Kecantikan,4884790.0,7,20.0,Transfer Bank,Silver,3.5,5,PROMO20,15947902.0
18.0,Laki-laki,Palembang,7424714.0,Olahraga,4329814.0,4,25.0,Kartu Kredit,Silver,3.0,5,PROMO20,8235740.0
45.0,Laki-laki,Padang,6827559.0,Elektronik,4934130.0,2,15.0,E-Wallet,Bronze,4.1,8,PROMO10,5698192.0
52.0,Perempuan,Pekanbaru,9231771.0,Olahraga,4116132.0,6,5.0,Kartu Kredit,Platinum,3.0,6,PROMO20,14703767.0
49.0,Laki-laki,Palembang,5025914.0,Elektronik,3774517.0,7,20.0,Transfer Bank,Silver,3.2,5,HEMAT15,12492117.0
37.0,Perempuan,Bengkulu,2930448.0,Olahraga,3667606.0,4,10.0,COD,Platinum,4.2,6,PROMO20,8382278.0
18.0,Laki-laki,Palembang,13047633.0,Olahraga,3975133.0,3,20.0,E-Wallet,Bronze,4.2,1,GRATISONGKIR,7232793.0
43.0,Perempuan,Jambi,7521937.0,Elektronik,4679249.0,5,5.0,Kartu Kredit,Platinum,3.4,2,PROMO20,13834761.0
32.0,Perempuan,Bengkulu,3874828.0,Kecantikan,3011720.0,6,20.0,Kartu Kredit,Bronze,3.9,4,HEMAT15,8688505.0
23.0,Laki-laki,Pekanbaru,7073994.0,Fashion,2994144.0,3,5.0,COD,Silver,3.7,7,HEMAT15,5436801.0
34.0,Perempuan,Bengkulu,75000000.0,Rumah Tangga,3283652.0,5,5.0,E-Wallet,Gold,4.0,8,TANPA_PROMO,9234547.0
40.0,Laki-laki,Padang,5934331.0,Elektronik,4597455.0,1,10.0,E-Wallet,Platinum,4.4,6,TANPA_PROMO,3624326.0
42.0,Laki-laki,Padang,6974893.0,Kecantikan,2694499.0,7,25.0,Kartu Kredit,Bronze,3.9,4,GRATISONGKIR,8615670.0
51.0,Perempuan,Jambi,7721320.0,Olahraga,2182767.0,4,5.0,E-Wallet,Bronze,2.8,7,HEMAT15,5375697.0
51.0,Laki-laki,Jambi,8721769.0,Elektronik,4805864.0,1,0.0,Transfer Bank,Bronze,4.3,3,PROMO10,4068804.0
35.0,Perempuan,Pekanbaru,9334494.0,Olahraga,1529238.0,6,20.0,COD,Bronze,3.4,4,TANPA_PROMO,5336910.0
38.0,Perempuan,Palembang,2639469.0,Kecantikan,4488736.0,4,5.0,Kartu Kredit,Silver,4.2,8,TANPA_PROMO,9621719.0
33.0,Perempuan,Palembang,5005668.0,Fashion,122602.0,6,20.0,E-Wallet,Platinum,4.6,3,HEMAT15,2032183.0
19.0,Laki-laki,Bengkulu,5863369.0,Olahraga,2349763.0,2,15.0,COD,Silver,2.6,5,HEMAT15,3337806.0
26.0,Laki-laki,Padang,10252815.0,Fashion,1057712.0,1,5.0,COD,Gold,3.3,3,PROMO20,2196583.0
34.0,Laki-laki,Jambi,3575879.0,Rumah Tangga,3105891.0,7,0.0,Kartu Kredit,Platinum,4.7,1,PROMO20,13342939.0
18.0,Perempuan,Palembang,5252241.0,Kecantikan,1162271.0,6,15.0,E-Wallet,Bronze,4.5,7,PROMO20,4145230.0
46.0,Perempuan,Jambi,5935003.0,Rumah Tangga,853790.0,7,0.0,Kartu Kredit,Bronze,2.9,2,PROMO10,4063892.0
47.0,Laki-laki,Palembang,4179799.0,Elektronik,2962643.0,7,20.0,E-Wallet,Platinum,3.2,2,HEMAT15,10493357.0
40.0,Perempuan,Jambi,5704786.0,Kecantikan,2656171.0,7,15.0,Transfer Bank,Silver,4.2,8,PROMO20,9671719.0
50.0,Laki-laki,Palembang,6454133.0,Olahraga,883800.0,6,0.0,Transfer Bank,Silver,3.8,7,HEMAT15,3746949.0
51.0,Laki-laki,Palembang,5268568.0,Elektronik,4739385.0,5,20.0,Transfer Bank,Platinum,3.7,4,PROMO10,11793375.0
21.0,Perempuan,Padang,6342317.0,Elektronik,3102193.0,2,20.0,Transfer Bank,Bronze,2.8,1,PROMO10,3345786.0
28.0,Perempuan,Bengkulu,7016591.0,Rumah Tangga,3445540.0,2,10.0,E-Wallet,Silver,2.6,4,HEMAT15,4525424.0
20.0,Laki-laki,Pekanbaru,8753430.0,Olahraga,982328.0,2,20.0,Kartu Kredit,Bronze,4.3,5,HEMAT15,1575443.0
20.0,Laki-laki,Bengkulu,6754507.0,Rumah Tangga,2151411.0,5,20.0,E-Wallet,Bronze,2.8,2,PROMO10,5842088.0
33.0,Perempuan,Pekanbaru,6775101.0,Fashion,3677850.0,6,25.0,E-Wallet,Bronze,3.7,5,PROMO10,10007086.0
43.0,Laki-laki,Jambi,5238113.0,Kecantikan,561379.0,5,5.0,Transfer Bank,Gold,2.8,2,PROMO20,2826597.0
48.0,Laki-laki,Bengkulu,6903726.0,Olahraga,2447772.0,2,10.0,COD,Bronze,2.7,2,PROMO10,3407119.0
19.0,Perempuan,Pekanbaru,5218322.0,Elektronik,4486295.0,7,5.0,Transfer Bank,Platinum,2.9,8,HEMAT15,17601316.0
42.0,Laki-laki,Pekanbaru,9033136.0,Kecantikan,2839023.0,1,0.0,Transfer Bank,Platinum,4.0,1,GRATISONGKIR,3235859.0
34.0,Laki-laki,Bengkulu,6765424.0,Rumah Tangga,589146.0,1,25.0,E-Wallet,Gold,2.8,5,PROMO10,1633041.0
39.0,Perempuan,Padang,6409121.0,Rumah Tangga,4543702.0,4,20.0,E-Wallet,Gold,4.9,6,GRATISONGKIR,9539823.0
19.0,Laki-laki,Bengkulu,3552817.0,Olahraga,219229.0,6,15.0,Kartu Kredit,Bronze,3.4,6,PROMO10,1244598.0
46.0,Laki-laki,Pekanbaru,4421680.0,Kecantikan,4651549.0,3,10.0,COD,Bronze,4.1,1,PROMO20,7965089.0
53.0,Perempuan,Padang,7250174.0,Olahraga,823011.0,2,5.0,Kartu Kredit,Silver,3.0,5,GRATISONGKIR,1834338.0
47.0,Perempuan,Palembang,6010409.0,Kecantikan,2002108.0,2,20.0,E-Wallet,Bronze,4.2,3,HEMAT15,2341947.0
41.0,Perempuan,Jambi,3134519.0,Olahraga,1828291.0,3,15.0,E-Wallet,Bronze,4.5,8,HEMAT15,3123612.0
23.0,Laki-laki,Padang,5614608.0,Fashion,1595133.0,5,10.0,Kartu Kredit,Bronze,5.0,6,PROMO20,4661527.0
49.0,Perempuan,Jambi,4963925.0,Fashion,3047414.0,5,0.0,Kartu Kredit,Bronze,4.3,7,PROMO10,9387353.0
52.0,Laki-laki,Padang,4415849.0,Elektronik,2594280.0,5,5.0,Transfer Bank,Gold,3.4,6,GRATISONGKIR,7735135.0
29.0,Perempuan,Bengkulu,5491274.0,Fashion,1624652.0,6,5.0,Transfer Bank,Silver,3.7,1,HEMAT15,6158437.0
32.0,Perempuan,Bengkulu,5532299.0,Kecantikan,392207.0,7,20.0,Kartu Kredit,Silver,3.4,5,HEMAT15,2360210.0
29.0,Perempuan,Padang,9115362.0,Elektronik,4765611.0,3,5.0,E-Wallet,Silver,4.4,2,HEMAT15,9077223.0
18.0,Perempuan,Jambi,10695442.0,Olahraga,3097923.0,7,5.0,COD,Gold,3.8,1,GRATISONGKIR,13486168.0
22.0,Laki-laki,Pekanbaru,9611353.0,Kecantikan,3292296.0,6,10.0,E-Wallet,Silver,3.7,5,TANPA_PROMO,10854429.0
36.0,Laki-laki,Palembang,5443730.0,Kecantikan,2421957.0,2,0.0,Kartu Kredit,Silver,2.8,4,PROMO10,3647601.0
54.0,Laki-laki,Pekanbaru,6621343.0,Rumah Tangga,2007800.0,5,0.0,COD,Bronze,4.4,8,PROMO10,6462410.0
